t,torque_offset_nm,gen_tq_meas_nm,gen_speed_rpm,rot_speed_rpm
2.98,0.0,13106570.0,0.5792579,0.5792579
2.99,0.0,13103370.0,0.5792216,0.5792216
3.0,0.0,13100180.0,0.5791852,0.5791852
3.01,0.0,13096980.0,0.5791485,0.5791485
3.02,0.0,13093790.0,0.5791116,0.5791116
3.03,0.0,13090600.0,0.5790746,0.5790746
3.04,0.0,13087410.0,0.5790374,0.5790374
3.05,0.0,13084230.0,0.5789999,0.5789999
3.06,0.0,13081040.0,0.5789622,0.5789622
3.07,0.0,13077860.0,0.5789244,0.5789244
3.08,0.0,13074680.0,0.5788863,0.5788863
3.09,0.0,13071510.0,0.5788479,0.5788479
3.1,0.0,13068330.0,0.5788094,0.5788094
3.11,0.0,13065160.0,0.5787706,0.5787706
3.12,0.0,13061990.0,0.5787317,0.5787317
3.13,0.0,13058820.0,0.5786925,0.5786925
3.14,0.0,13055660.0,0.578653,0.578653
3.15,0.0,13052490.0,0.5786134,0.5786134
3.16,0.0,13049330.0,0.5785735,0.5785735
3.17,0.0,13046180.0,0.5785334,0.5785334
3.18,0.0,13043020.0,0.578493,0.578493
3.19,0.0,13039870.0,0.5784523,0.5784523
3.2,0.0,13036720.0,0.5784115,0.5784115
3.21,0.0,13033570.0,0.5783705,0.5783705
3.22,0.0,13030420.0,0.5783291,0.5783291
3.23,0.0,13027280.0,0.5782875,0.5782875
3.24,0.0,13024140.0,0.5782458,0.5782458
3.25,0.0,13021000.0,0.5782037,0.5782037
3.26,0.0,13017870.0,0.5781614,0.5781614
3.27,0.0,13014740.0,0.5781189,0.5781189
3.28,0.0,13011610.0,0.5780761,0.5780761
3.29,0.0,13008480.0,0.578033,0.578033
3.3,0.0,13005360.0,0.5779897,0.5779897
3.31,0.0,13002240.0,0.5779461,0.5779461
3.32,0.0,12999120.0,0.5779024,0.5779024
3.33,0.0,12996000.0,0.5778583,0.5778583
3.34,0.0,12992880.0,0.577814,0.577814
3.35,0.0,12989770.0,0.5777695,0.5777695
3.36,0.0,12986660.0,0.5777246,0.5777246
3.37,0.0,12983560.0,0.5776796,0.5776796
3.38,0.0,12980460.0,0.5776342,0.5776342
3.39,0.0,12977350.0,0.5775887,0.5775887
3.4,0.0,12974260.0,0.5775428,0.5775428
3.41,0.0,12971160.0,0.5774968,0.5774968
3.42,0.0,12968070.0,0.5774505,0.5774505
3.43,0.0,12964980.0,0.5774038,0.5774038
3.44,0.0,12961890.0,0.577357,0.577357
3.45,0.0,12958800.0,0.57731,0.57731
3.46,0.0,12955720.0,0.5772626,0.5772626
3.47,0.0,12952640.0,0.577215,0.577215
3.48,0.0,12949560.0,0.5771672,0.5771672
3.49,0.0,12946480.0,0.5771191,0.5771191
3.5,0.0,12943410.0,0.5770708,0.5770708
3.51,0.0,12940340.0,0.5770223,0.5770223
3.52,0.0,12937270.0,0.5769734,0.5769734
3.53,0.0,12934200.0,0.5769244,0.5769244
