t,P_e_sys_pu,P_ref_sys_pu,P_uic_bus_sys_pu,Q_uic_bus_sys_pu,omega_e_pu,omega_grid_pu,f_grid_hz,V_WTG1_LV_pu,angle_WTG1_LV_deg,V_uic_internal_pu,I_uic_pu,I_uic_angle_deg,P_sync_generators_total_sys_pu,Q_sync_generators_total_sys_pu,fmu_RotSpeed,fmu_GenSpeed,fmu_GenTq,fmu_BldPitch1,fmu_Wind1VelX,fmu_YawBrTAxp,fmu_HSShftTq,load_step_scale,torque_mod_factor,elecpwr_mod_factor
34.64000000000168,0.06766472541661255,0.066842060731758,0.06766472541661255,0.02352783932499047,0.7372394461715615,0.999894369367909,49.99471846839545,1.0496030674954488,-65.66351554883165,1.061300642910704,0.34126470984081797,-84.8366938991193,0.4073321361157327,0.000770748378460355,5.694277144114477,3.6771389924802036,11692.848,0.0,8.0,0.0,15546.796248595107,1.0,1.0,1.0
34.650000000001675,0.06727326457700177,0.06622043184956146,0.06727326457700177,0.023420982725592968,0.7591500087672537,0.9998968736014852,49.99484368007426,1.0500283946706233,-65.66693406932107,1.0616643397009387,0.3391987400434222,-84.8623410848084,0.4082407935740525,0.0008404578070162622,5.692747048521508,3.9141968548746275,11585.0,0.0,8.0,0.0,16848.317072822312,1.0,1.0,1.0
34.66000000000167,0.06689187824821322,0.06503760355374404,0.06689187824821322,0.023402285278983647,0.7808048679376154,0.9998986147172196,49.99493073586098,1.0504512327670625,-65.67612379397268,1.0620677559348055,0.33731891372534223,-84.95863658297304,0.40905561464134876,0.0008241400161114326,5.690893856993768,4.216181093160289,11378.928,0.0,8.0,0.0,17926.647472634457,1.0,1.0,1.0
34.67000000000167,0.06641395510998976,0.06385524947981724,0.06641395510998976,0.023478417318362803,0.8012264980399229,0.9998996446006779,49.9949822300339,1.050829027228209,-65.70083483647711,1.062470455310689,0.33517258604420486,-85.17016769783629,0.40984041575835756,0.0007006829552610658,5.688782589824052,4.570405362822917,11172.856,0.0,8.0,0.0,18743.55725368505,1.0,1.0,1.0
34.68000000000167,0.06587913865007647,0.06267306882316967,0.06587913865007647,0.023644513985639964,0.819549532341204,0.9999000237665219,49.99500118832609,1.0511226929580302,-65.74037366289888,1.0628320517642016,0.3329475364559647,-85.48381445986507,0.41052145514109045,0.0004788843538291246,5.686491096314138,4.968817210731483,10966.705,0.0,8.0,0.0,19266.764745162363,1.0,1.0,1.0
34.69000000000167,0.06531067029614554,0.06149208309321143,0.06531067029614554,0.023888801525991002,0.8349862726204997,0.9998998640524122,49.994993202620606,1.0512996843869669,-65.79437292299416,1.0631151173379323,0.33074533924427474,-85.88546759253433,0.4110545290053541,0.00017249053123132713,5.6841005178835236,5.388908356695842,10760.633,0.0,8.0,0.0,19480.289622797856,1.0,1.0,1.0
34.700000000001666,0.06471622560363287,0.060311505860451614,0.06471622560363287,0.024193179820238175,0.8468819964465372,0.9998993026720004,49.99496513360002,1.051337070584543,-65.86239066875376,1.0632885265052596,0.32858405198664703,-86.35988524194931,0.4114265607539183,-0.00020013980741383566,5.68169633962486,5.817975752172641,10554.488,0.0,8.0,0.0,19377.569871157462,1.0,1.0,1.0
34.71000000000166,0.06408934873926442,0.05960193947790151,0.06408934873926442,0.0245332610178534,0.8547615920290824,0.9998984746803852,49.99492373401926,1.0512247752344006,-65.94362643767926,1.06333069947889,0.3264027220775274,-86.89036189223607,0.4116572261612708,-0.0006157505501914887,5.679365381265315,6.2392577856949325,10430.62,0.0,8.0,0.0,18964.535487094196,1.0,1.0,1.0
34.72000000000166,0.06352190698094205,0.05889296944070217,0.06352190698094205,0.024872945602257914,0.8582965408106836,0.9998975325750593,49.99487662875296,1.0509695943988453,-66.02959144235601,1.0632324993295366,0.3245479436695588,-87.4131560141536,0.41169084907632214,-0.0010274167801241122,5.677190043688214,6.637746747785924,10306.706,0.0,8.0,0.0,18258.1985553493,1.0,1.0,1.0
34.73000000000166,0.06296539247239846,0.0581851081332427,0.06296539247239846,0.025178233385610826,0.8573487802316169,0.9998966049395,49.994830246975006,1.0505951957464814,-66.11984191378963,1.0630005081655256,0.3227354410298394,-87.91503549612706,0.411631759732899,-0.0014066198610110173,5.675245353991039,6.994009982065858,10182.838,0.0,8.0,0.0,17289.574025347098,1.0,1.0,1.0
34.74000000000166,0.06237417094836339,0.05747778113970759,0.06237417094836339,0.025417961412621044,0.8520532472917892,0.9998957260920082,49.99478630460041,1.0501403316222593,-66.21280277092276,1.0626575705924388,0.3206921927790934,-88.38408185071027,0.41159313537664066,-0.0017267183017642095,5.673599824467908,7.301806934841636,10058.924,0.0,8.0,0.0,16094.647850993135,1.0,1.0,1.0
34.750000000001656,0.061714477194216674,0.05677143365328084,0.061714477194216674,0.02556935003147806,0.8427970916189185,0.9998948380677063,49.99474190338532,1.0496530679502571,-66.30622361422712,1.0622398409455633,0.31820851704354575,-88.81127648756973,0.41167698355362964,-0.0019675583274587974,5.672310044824622,7.548559279185387,9935.056,0.0,8.0,0.0,14718.571350759963,1.0,1.0,1.0
34.760000000001654,0.060966804012828925,0.057155404509103586,0.060966804012828925,0.02561919928245713,0.8301812065410182,0.9998938032491761,49.9946901624588,1.0491859373601422,-66.3975398321337,1.061792610017668,0.315153335916722,-89.19044313575239,0.4119659120754255,-0.0021165111735243283,5.671418680749482,7.727617559945674,10001.881,0.0,8.0,0.0,13211.257674415316,1.0,1.0,1.0
34.77000000000165,0.06037823579886673,0.05754010300428591,0.06037823579886673,0.02555256308469595,0.8148150998736801,0.9998925348947886,49.99462674473943,1.048792295843062,-66.46777296899714,1.0613645921961798,0.3125627398309927,-89.40625166110054,0.4122667540986876,-0.0021291519196987435,5.670955494949754,7.834274510065213,10068.731,0.0,8.0,0.0,11626.035160281477,1.0,1.0,1.0
34.78000000000165,0.059902185073871884,0.057925121893980684,0.059902185073871884,0.02538017850422252,0.7973169434708297,0.9998909873454789,49.99454936727395,1.0485162781455,-66.51875229319869,1.0610037774450873,0.31023405880578314,-89.48081976895826,0.4126598849053794,-0.002020353051603474,5.670929696536502,7.853521587722255,10135.555,0.0,8.0,0.0,10026.918328733835,1.0,1.0,1.0
